Rk,Player,Season,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,Karl-Anthony Towns\townska01,2016-17,C-F,82,82,3030,802,1480,.542,701,1205,.582,101,275,.367,356,428,.832,296,711,1007,220,56,103,212,241,2061,20.9
2,DeMarcus Cousins\couside01,2016-17,C-F,72,72,2465,647,1432,.452,516,1069,.483,131,363,.361,517,670,.772,152,642,794,332,100,93,269,278,1942,20.2
3,Karl-Anthony Towns\townska01,2018-19,C-F,77,77,2545,681,1314,.518,539,959,.562,142,355,.400,376,450,.836,263,691,954,259,67,125,240,292,1880,20.4
4,Joel Embiid\embiijo01,2018-19,C,64,64,2154,580,1199,.484,501,936,.535,79,263,.300,522,649,.804,160,711,871,234,46,122,226,211,1761,22.1
5,DeMarcus Cousins\couside01,2015-16,C-F,65,65,2246,601,1332,.451,531,1122,.473,70,210,.333,476,663,.718,158,589,747,214,101,92,249,236,1748,19.1
6,Karl-Anthony Towns\townska01,2017-18,C-F,82,82,2918,639,1172,.545,519,887,.585,120,285,.421,345,402,.858,238,774,1012,199,64,115,159,285,1743,19.1
7,Nikola Vučević\vucevni01,2018-19,C,80,80,2510,701,1354,.518,617,1123,.549,84,231,.364,179,227,.789,224,736,960,307,81,89,159,157,1665,18.7
8,Nikola Jokić\jokicni01,2018-19,C-F,80,80,2504,616,1206,.511,533,936,.569,83,270,.307,289,352,.821,228,637,865,580,108,55,248,228,1604,19.3
9,Brook Lopez\lopezbr01,2016-17,C,75,75,2222,555,1172,.474,421,785,.536,134,387,.346,295,364,.810,121,282,403,176,38,124,184,192,1539,14.3
10,Karl-Anthony Towns\townska01,2015-16,C-F,82,82,2626,625,1153,.542,595,1065,.559,30,88,.341,223,275,.811,229,629,858,161,58,138,183,245,1503,15.4
11,Brook Lopez\lopezbr01,2015-16,C,73,73,2457,591,1157,.511,589,1143,.515,2,14,.143,317,403,.787,204,369,573,147,58,124,175,215,1501,15.5
12,Marc Gasol\gasolma01,2016-17,C,74,74,2531,532,1160,.459,428,892,.480,104,268,.388,278,332,.837,60,404,464,338,67,99,166,171,1446,15.2
13,Joel Embiid\embiijo01,2017-18,C,63,63,1912,510,1056,.483,444,842,.527,66,214,.308,359,467,.769,143,547,690,199,40,111,234,209,1445,17.0
14,Nikola Vučević\vucevni01,2014-15,C,74,74,2529,631,1206,.523,629,1200,.524,2,6,.333,164,218,.752,238,572,810,147,54,54,148,220,1428,15.0
15,DeMarcus Cousins\couside01,2014-15,C-F,59,59,2013,498,1066,.467,496,1058,.469,2,8,.250,423,541,.782,185,562,747,210,90,103,254,241,1421,18.4
16,Marc Gasol\gasolma01,2014-15,C,81,81,2687,530,1072,.494,527,1055,.500,3,17,.176,350,440,.795,115,515,630,307,70,131,176,208,1413,14.7
17,Nikola Jokić\jokicni01,2017-18,C-F,75,73,2443,504,1010,.499,393,730,.538,111,280,.396,266,313,.850,195,608,803,458,90,61,210,212,1385,17.8
18,Andre Drummond\drumman01,2018-19,C,79,79,2647,561,1052,.533,556,1014,.548,5,38,.132,243,412,.590,423,809,1232,112,136,138,175,272,1370,17.2
19,Dwight Howard\howardw01,2017-18,C,81,81,2463,506,911,.555,505,904,.559,1,7,.143,334,582,.574,255,757,1012,105,48,131,208,249,1347,13.9
20,Andre Drummond\drumman01,2015-16,C,81,81,2665,552,1060,.521,550,1054,.522,2,6,.333,208,586,.355,395,803,1198,67,119,112,155,245,1314,14.2
21,Hassan Whiteside\whiteha01,2016-17,C,77,77,2513,542,973,.557,542,973,.557,0,0,,225,358,.628,293,795,1088,57,57,161,154,226,1309,15.6
22,Rudy Gobert\goberru01,2018-19,C,81,80,2577,476,712,.669,476,712,.669,0,0,,332,522,.636,309,732,1041,161,66,187,130,231,1284,17.6
23,Marc Gasol\gasolma01,2017-18,C,73,73,2408,434,1033,.420,325,713,.456,109,320,.341,281,337,.834,78,514,592,305,54,101,194,185,1258,13.2
24,Al Horford\horfoal01,2015-16,C-F,82,82,2631,529,1048,.505,441,792,.557,88,256,.344,103,129,.798,148,448,596,263,68,121,107,163,1249,13.6
25,Brook Lopez\lopezbr01,2014-15,C,72,44,2100,506,987,.513,505,977,.517,1,10,.100,223,274,.814,214,321,535,50,43,126,104,206,1236,13.2
26,Nikola Jokić\jokicni01,2016-17,C-F,73,59,2038,494,854,.578,449,715,.628,45,139,.324,188,228,.825,212,506,718,359,61,55,171,214,1221,16.4
27,DeMarcus Cousins\couside01,2017-18,C-F,48,48,1737,406,864,.470,302,570,.530,104,294,.354,294,394,.746,105,512,617,257,79,76,242,183,1210,19.8
28,Greg Monroe\monrogr01,2015-16,C-F,79,67,2314,491,941,.522,491,940,.522,0,1,.000,228,308,.740,218,478,696,178,72,67,129,163,1210,13.4
29,Nikola Vučević\vucevni01,2015-16,C,65,60,2037,533,1046,.510,531,1037,.512,2,9,.222,113,150,.753,174,402,576,179,53,70,123,173,1181,14.2
30,Myles Turner\turnemy01,2016-17,C-F,81,81,2541,444,869,.511,404,754,.536,40,115,.348,245,303,.809,139,450,589,106,74,172,105,262,1173,12.5
31,Andre Drummond\drumman01,2017-18,C,78,78,2625,466,881,.529,466,870,.536,0,11,.000,239,395,.605,399,848,1247,237,114,127,200,250,1171,16.4
32,Enes Kanter\kanteen01,2014-15,C,75,74,2136,482,928,.519,466,883,.528,16,45,.356,183,234,.782,277,394,671,55,36,29,145,189,1163,11.6
33,Deandre Ayton\aytonde01,2018-19,C,71,70,2183,509,870,.585,509,866,.588,0,4,.000,141,189,.746,223,506,729,125,61,67,126,209,1159,14.5
34,Al Horford\horfoal01,2014-15,C-F,76,76,2318,519,965,.538,508,929,.547,11,36,.306,107,141,.759,131,413,544,244,68,98,100,121,1156,13.8
35,Rudy Gobert\goberru01,2016-17,C,81,81,2744,413,625,.661,413,624,.662,0,1,.000,311,476,.653,314,721,1035,97,49,214,147,246,1137,15.5
36,Jusuf Nurkić\nurkiju01,2017-18,C,79,79,2088,480,951,.505,480,944,.508,0,7,.000,172,273,.630,189,519,708,143,64,111,183,247,1132,11.0
37,Andre Drummond\drumman01,2014-15,C,82,82,2502,494,961,.514,494,959,.515,0,2,.000,142,365,.389,437,667,1104,55,73,153,120,285,1130,12.9
38,Jusuf Nurkić\nurkiju01,2018-19,C,72,72,1974,420,826,.508,417,797,.523,3,29,.103,282,365,.773,243,505,748,233,71,103,168,250,1125,14.5
39,Clint Capela\capelca01,2018-19,C,67,67,2249,474,732,.648,474,732,.648,0,0,,166,261,.636,298,550,848,96,44,102,94,168,1114,17.1
40,Steven Adams\adamsst01,2018-19,C,80,80,2669,481,809,.595,481,807,.596,0,2,.000,146,292,.500,391,369,760,124,117,76,135,204,1108,13.8
41,Andre Drummond\drumman01,2016-17,C,81,81,2409,483,911,.530,481,904,.532,2,7,.286,137,355,.386,345,770,1115,90,124,89,152,237,1105,12.9
42,Greg Monroe\monrogr01,2014-15,C-F,69,57,2137,423,853,.496,423,853,.496,0,0,,252,336,.750,229,475,704,142,78,34,149,148,1098,13.5
43,Nikola Vučević\vucevni01,2016-17,C,75,55,2163,483,1031,.468,460,956,.481,23,75,.307,107,160,.669,176,603,779,208,76,74,117,180,1096,12.5
44,Al Jefferson\jeffeal01,2014-15,C-F,65,61,1992,486,1010,.481,484,1005,.482,2,5,.400,108,165,.655,99,449,548,113,47,84,68,139,1082,12.5
45,Marc Gasol\gasolma01,2018-19,C,79,72,2436,390,870,.448,291,597,.487,99,273,.363,192,253,.759,80,547,627,349,84,86,155,217,1071,12.2
46,Steven Adams\adamsst01,2017-18,C,76,76,2487,448,712,.629,448,710,.631,0,2,.000,160,286,.559,384,301,685,88,92,78,128,215,1056,13.7
47,Hassan Whiteside\whiteha01,2015-16,C,73,43,2125,413,682,.606,413,682,.606,0,0,,214,329,.650,238,627,865,30,44,269,137,201,1040,14.7
48,Enes Kanter\kanteen01,2015-16,C,82,1,1721,414,719,.576,404,698,.579,10,21,.476,200,251,.797,249,415,664,33,26,33,115,166,1038,10.6
49,Enes Kanter\kanteen01,2016-17,C,72,0,1533,402,737,.545,397,699,.568,5,38,.132,224,285,.786,195,287,482,67,32,38,123,154,1033,11.1
