Rk,Player,Season,School,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,Doug McDermott\doug-mcdermott-1,2013-14,Creighton,F,35,35,1181,330,627,.526,234,413,.567,96,214,.449,178,206,.864,57,187,244,55,8,5,62,67,934,19.2
2,Mike Daum\mike-daum-1,2016-17,South Dakota State,F,35,35,1143,274,533,.514,195,344,.567,79,189,.418,251,289,.869,76,209,285,49,20,15,98,87,878,18.5
3,T.J. Warren\tj-warren-1,2013-14,North Carolina State,F,35,35,1238,342,652,.525,311,536,.580,31,116,.267,156,226,.690,113,137,250,40,63,21,83,97,871,17.9
4,Mike Daum\mike-daum-1,2017-18,South Dakota State,F,35,35,1090,273,591,.462,177,365,.485,96,226,.425,194,228,.851,64,295,359,45,17,26,72,84,836,17.5
5,Rashawn Thomas\rashawn-thomas-1,2016-17,Texas A&M-Corpus Christi,F,34,33,1145,268,511,.524,254,474,.536,14,37,.378,215,298,.721,78,227,305,92,53,69,126,118,765,17.5
6,Kelan Martin\kelan-martin-1,2017-18,Butler,F,35,35,1249,259,580,.447,164,319,.514,95,261,.364,130,154,.844,33,186,219,70,26,16,84,67,743,13.9
7,Bogdan Bliznyuk\bogdan-bliznyuk-1,2017-18,Eastern Washington,F,35,35,1228,265,502,.528,220,389,.566,45,113,.398,166,184,.902,33,205,238,137,29,10,119,83,741,15.8
8,Ben Bentil\ben-bentil-1,2015-16,Providence,F,35,33,1198,246,533,.462,194,375,.517,52,158,.329,194,248,.782,94,174,268,40,30,36,67,97,738,15.3
9,Kyle Wiltjer\kyle-wiltjer-1,2015-16,Gonzaga,F,36,36,1209,260,529,.491,170,323,.526,90,206,.437,126,147,.857,61,167,228,53,13,29,74,66,736,14.6
10,Justin Jackson\justin-jackson-4,2016-17,North Carolina,F,40,39,1281,264,596,.443,159,312,.510,105,284,.370,98,131,.748,58,128,186,113,31,9,69,55,731,12.8
11,Jerome Robinson\jerome-robinson-2,2017-18,Boston College,F,35,35,1260,249,513,.485,168,315,.533,81,198,.409,146,176,.830,17,109,126,116,30,5,96,88,725,13.8
12,Georges Niang\georges-niang-1,2015-16,Iowa State,F,35,35,1162,283,518,.546,227,375,.605,56,143,.392,96,119,.807,46,172,218,117,31,22,92,111,718,15.3
13,Mikal Bridges\mikal-bridges-1,2017-18,Villanova,F,40,40,1285,244,475,.514,140,236,.593,104,239,.435,114,134,.851,54,158,212,77,61,43,54,86,706,15.1
14,Deandre Ayton\deandre-ayton-1,2017-18,Arizona,F,35,35,1172,276,451,.612,264,416,.635,12,35,.343,140,191,.733,118,287,405,57,20,66,69,81,704,18.6
15,D.J. Covington\dj-covington-1,2013-14,Virginia Military Institute,F,35,35,1040,268,452,.593,268,450,.596,0,2,.000,168,241,.697,94,232,326,29,34,106,74,108,704,17.5
16,Shawn Glover\shawn-glover-1,2013-14,Oral Roberts,F,33,32,1151,273,547,.499,248,495,.501,25,52,.481,132,159,.830,42,150,192,49,28,53,72,67,703,15.0
17,Bogdan Bliznyuk\bogdan-bliznyuk-1,2016-17,Eastern Washington,F,34,33,1251,251,529,.474,213,409,.521,38,120,.317,161,196,.821,36,186,222,136,36,7,104,92,701,14.5
18,Peyton Aldridge\peyton-aldridge-1,2017-18,Davidson,F,33,33,1245,252,526,.479,175,324,.540,77,202,.381,120,141,.851,46,205,251,82,13,20,40,51,701,16.5
19,Nick King\nick-king-1,2017-18,Middle Tennessee,F,33,33,1086,259,523,.495,217,415,.523,42,108,.389,134,183,.732,78,200,278,65,23,7,94,50,694,14.7
20,Marvin Bagley III\marvin-bagleyiii-1,2017-18,Duke,F,33,32,1114,270,440,.614,247,382,.647,23,58,.397,131,209,.627,132,234,366,50,27,29,75,60,694,18.4
21,Cameron Bairstow\cameron-bairstow-1,2013-14,New Mexico,F,34,34,1119,237,426,.556,236,423,.558,1,3,.333,219,298,.735,76,175,251,53,19,51,68,72,694,16.5
22,Jacob Wiley\jacob-wiley-1,2016-17,Eastern Washington,F,34,34,1165,264,411,.642,259,404,.641,5,7,.714,159,192,.828,95,214,309,80,26,94,128,102,692,17.8
23,Eric Mika\eric-mika-2,2016-17,Brigham Young,F,34,34,974,233,441,.528,233,440,.530,0,1,.000,225,295,.763,104,208,312,56,19,63,84,92,691,16.6
24,Pascal Siakam\pascal-siakam-1,2015-16,New Mexico State,F,34,34,1176,274,509,.538,271,494,.549,3,15,.200,137,202,.678,132,263,395,58,34,75,67,92,688,17.9
25,Stephen Madison\stephen-madison-1,2013-14,Idaho,F,34,34,1172,218,457,.477,179,337,.531,39,120,.325,209,275,.760,70,190,260,81,34,17,93,101,684,14.7
26,Jimmy Hall\jimmy-hall-1,2016-17,Kent State,F,36,34,1172,267,513,.520,264,493,.535,3,20,.150,146,188,.777,147,235,382,92,32,49,104,104,683,15.9
27,Reid Travis\reid-travis-1,2017-18,Stanford,F,35,35,1190,250,474,.527,232,413,.562,18,61,.295,164,243,.675,104,202,306,47,26,4,72,91,682,14.4
28,Caleb Martin\caleb-martin-1,2017-18,Nevada,F,36,26,1199,223,491,.454,123,243,.506,100,248,.403,134,179,.749,34,160,194,92,45,21,61,95,680,14.0
29,Alec Peters\alec-peters-1,2015-16,Valparaiso,F,37,37,1186,223,442,.505,132,235,.562,91,207,.440,142,167,.850,93,219,312,49,26,11,63,77,679,15.0
30,Brice Johnson\brice-johnson-1,2015-16,North Carolina,F,40,39,1121,267,435,.614,267,435,.614,0,0,,144,184,.783,115,301,416,58,43,59,71,106,678,16.2
31,Trevon Bluiett\trevon-bluiett-1,2017-18,Xavier,F,35,34,1200,202,462,.437,97,210,.462,105,252,.417,167,197,.848,29,164,193,87,26,9,70,76,676,13.8
32,Kevin Hervey\kevin-hervey-1,2017-18,Texas-Arlington,F,33,25,1064,243,545,.446,166,318,.522,77,227,.339,113,140,.807,77,205,282,73,41,20,90,60,676,14.8
