Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,2019-20,MIL,NBA,25,22,3,.880,6025,1107,2285,748,1290,359,995,447,621,250,1039,1289,649,195,149,372,507,3020,13.44,-0.87,12.58,105.2,114.3,101.6,.563,12.7,21.7,0.196,.487,12.9,19.1,0.173
2,2019-20,LAL,NBA,25,22,3,.880,6025,1077,2211,798,1459,279,752,411,557,245,889,1134,660,220,175,372,496,2844,9.84,-0.75,9.09,100.7,112.5,102.8,.550,13.2,23.3,0.186,.500,14.8,20.8,0.194
3,2019-20,DAL,NBA,23,16,7,.696,5545,961,2064,624,1132,337,932,454,582,250,848,1098,560,149,101,297,437,2713,9.65,-1.27,8.38,99.6,117.9,108.2,.547,11.3,24.3,0.220,.509,11.3,23.0,0.170
4,2019-20,BOS,NBA,23,17,6,.739,5545,929,2053,643,1254,286,799,407,510,238,813,1051,539,195,135,311,495,2551,7.30,-0.94,6.36,99.4,111.1,103.8,.522,12.0,22.8,0.198,.500,14.5,23.9,0.190
5,2019-20,LAC,NBA,26,19,7,.731,6265,1076,2360,772,1497,304,863,533,683,302,977,1279,609,199,141,420,595,2989,7.27,0.85,8.12,103.0,111.2,104.2,.520,13.6,25.1,0.226,.492,13.2,22.9,0.214
6,2019-20,PHI,NBA,25,18,7,.720,6025,1023,2153,751,1410,272,743,423,568,240,917,1157,671,223,141,413,552,2741,6.16,-1.40,4.76,100.2,109.0,102.9,.538,14.7,23.3,0.196,.509,14.0,17.5,0.213
7,2019-20,MIA,NBA,24,18,6,.750,5860,955,2012,652,1218,303,794,474,625,220,869,1089,607,201,109,425,517,2687,5.79,-1.19,4.60,99.6,110.5,104.7,.550,15.7,22.4,0.236,.508,14.0,19.8,0.220
8,2019-20,HOU,NBA,24,16,8,.667,5810,980,2183,600,1076,380,1107,546,687,278,873,1151,526,207,117,379,539,2886,5.38,0.06,5.44,104.3,114.4,109.2,.536,13.2,24.8,0.250,.528,13.6,23.0,0.185
9,2019-20,TOR,NBA,24,16,8,.667,5810,948,2113,623,1246,325,867,439,545,236,876,1112,603,203,128,374,507,2660,5.29,1.19,6.49,100.9,108.9,103.7,.526,13.7,21.6,0.208,.486,14.2,26.0,0.183
10,2019-20,DEN,NBA,22,14,8,.636,5355,887,1988,653,1319,234,669,320,428,233,776,1009,576,173,113,306,449,2328,4.14,0.29,4.43,98.0,106.5,102.3,.505,12.3,23.0,0.161,.494,13.4,21.2,0.191
11,2019-20,IND,NBA,25,16,9,.640,6050,1053,2248,808,1580,245,668,382,470,239,866,1105,614,176,130,347,513,2733,4.12,-1.16,2.96,99.3,109.2,105.1,.523,12.4,21.8,0.170,.505,13.4,21.4,0.192
12,2019-20,PHO,NBA,24,11,13,.458,5810,991,2157,682,1301,309,856,478,595,223,796,1019,681,186,95,336,554,2769,1.38,-0.27,1.10,102.7,111.4,110.1,.531,12.2,20.2,0.222,.539,14.9,22.0,0.236
13,2019-20,OKC,NBA,24,11,13,.458,5810,935,2019,685,1306,250,713,466,587,188,843,1031,518,178,120,341,477,2586,0.58,-0.08,0.50,98.7,108.2,107.6,.525,13.0,18.3,0.231,.510,12.7,22.7,0.171
14,2019-20,DET,NBA,24,10,14,.417,5760,954,2030,657,1273,297,757,401,541,233,803,1036,596,159,123,395,468,2606,0.33,-1.12,-0.79,98.9,109.8,109.5,.543,14.8,23.4,0.198,.527,12.7,22.0,0.182
