Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2009,NBA,1,1,LAC,Blake Griffin\griffbl01,20.106,F,us,Oklahoma,2011,2020,617,34.9,21.8,8.9,4.4,0.9,0.5,.500,.521,.338,.694,75.6,.169
2,2010,NBA,1,1,WAS,John Wall\walljo01,19.296,G,us,Kentucky,2011,2019,573,35.9,19.0,4.3,9.2,1.7,0.7,.433,.457,.324,.781,44.3,.104
3,2011,NBA,1,1,CLE,Kyrie Irving\irvinky01,19.096,G,au,Duke,2012,2020,519,33.8,22.4,3.7,5.7,1.3,0.4,.465,.499,.388,.877,60.0,.164
4,2012,NBA,1,1,NOH,Anthony Davis\davisan02,19.114,F-C,us,Kentucky,2013,2020,490,34.6,23.9,10.5,2.2,1.4,2.4,.516,.533,.316,.799,76.9,.218
5,2013,NBA,1,1,CLE,Anthony Bennett\bennean01,20.110,F,ca,UNLV,2014,2017,151,12.6,4.4,3.1,0.5,0.4,0.2,.392,.427,.261,.670,0.5,.013
6,2014,NBA,1,1,CLE,Andrew Wiggins\wiggian01,19.128,F-G,ca,Kansas,2015,2020,420,35.9,19.7,4.3,2.2,1.0,0.6,.441,.469,.333,.735,14.4,.046
7,2015,NBA,1,1,MIN,Karl-Anthony Towns\townska01,19.227,C-F,us,Kentucky,2016,2020,345,34.4,22.5,11.8,2.7,0.8,1.5,.535,.573,.395,.833,49.0,.198
8,2016,NBA,1,1,PHI,Ben Simmons\simmobe01,19.343,G-F,au,LSU,2018,2020,184,34.0,16.0,8.3,8.0,1.6,0.8,.555,.559,.091,.582,20.0,.154
9,2017,NBA,1,1,PHI,Markelle Fultz\fultzma01,19.029,G,us,Washington,2018,2020,56,22.7,9.5,3.1,3.7,1.0,0.2,.444,.470,.226,.658,1.7,.064
10,2018,NBA,1,1,PHO,Deandre Ayton\aytonde01,19.338,C,bs,Arizona,2019,2020,72,30.8,16.3,10.3,1.7,0.9,1.0,.586,.589,.000,.746,6.0,.129
11,2009,NBA,1,2,MEM,Hasheem Thabeet\thabeha01,22.135,C,tz,UConn,2010,2014,224,10.5,2.2,2.7,0.1,0.3,0.8,.567,.567,,.578,4.8,.099
12,2010,NBA,1,2,PHI,Evan Turner\turneev01,21.245,G,us,Ohio State,2011,2020,701,27.0,9.7,4.7,3.5,0.8,0.3,.434,.458,.294,.782,20.3,.051
13,2011,NBA,1,2,MIN,Derrick Williams\willide02,20.034,F,us,Arizona,2012,2018,428,20.7,8.9,4.0,0.7,0.5,0.3,.434,.484,.300,.710,14.1,.076
14,2012,NBA,1,2,CHA,Michael Kidd-Gilchrist\kiddgmi01,18.280,F,us,Kentucky,2013,2020,426,25.3,8.7,5.6,1.2,0.7,0.7,.476,.482,.277,.715,21.2,.094
15,2013,NBA,1,2,ORL,Victor Oladipo\oladivi01,21.059,G,us,Indiana,2014,2019,402,33.2,17.5,4.6,4.0,1.7,0.5,.443,.482,.352,.793,24.2,.087
16,2014,NBA,1,2,MIL,Jabari Parker\parkeja01,19.108,F,us,Duke,2015,2020,272,29.5,15.2,5.8,2.1,0.9,0.4,.492,.527,.328,.737,12.7,.076
17,2015,NBA,1,2,LAL,D'Angelo Russell\russeda01,19.127,G,us,Ohio State,2016,2020,286,28.6,16.8,3.7,5.1,1.1,0.2,.420,.467,.354,.760,7.1,.042
18,2016,NBA,1,2,LAL,Brandon Ingram\ingrabr01,18.299,F,us,Duke,2017,2020,211,31.9,15.0,5.0,3.0,0.7,0.6,.463,.491,.348,.686,6.2,.045
19,2017,NBA,1,2,LAL,Lonzo Ball\balllo01,19.243,G,us,UCLA,2018,2020,116,31.8,10.1,5.9,6.3,1.5,0.6,.379,.447,.318,.463,3.6,.046
20,2018,NBA,1,2,SAC,Marvin Bagley\baglema01,19.104,F,us,Duke,2019,2020,64,25.3,14.8,7.6,1.0,0.5,1.0,.499,.528,.309,.689,3.5,.105
21,2009,NBA,1,3,OKC,James Harden\hardeja01,19.308,G,us,Arizona State,2010,2020,789,34.2,24.8,5.2,6.2,1.6,0.5,.443,.508,.364,.859,127.4,.226
22,2010,NBA,1,3,NJN,Derrick Favors\favorde01,18.349,F-C,us,Georgia Tech,2011,2020,641,25.7,11.5,7.2,1.1,0.8,1.3,.526,.535,.213,.663,50.0,.146
23,2011,NBA,1,3,UTA,Enes Kanter\kanteen01,19.038,C,ch,,2012,2020,600,22.0,11.8,7.6,0.8,0.4,0.5,.542,.549,.290,.777,41.1,.149
24,2012,NBA,1,3,WAS,Bradley Beal\bealbr01,19.005,G,us,Florida,2013,2020,511,34.5,20.2,4.0,3.9,1.1,0.4,.451,.490,.381,.801,38.0,.103
25,2013,NBA,1,3,WAS,Otto Porter\porteot01,20.029,F,us,Georgetown,2014,2020,408,26.9,11.0,5.0,1.5,1.2,0.4,.482,.527,.405,.791,29.6,.129
26,2014,NBA,1,3,PHI,Joel Embiid\embiijo01,20.107,C,cm,Kansas,2017,2020,179,30.7,24.1,11.5,3.2,0.7,1.9,.479,.524,.315,.791,19.6,.171
27,2015,NBA,1,3,PHI,Jahlil Okafor\okafoja01,19.197,C-F,us,Duke,2016,2020,206,20.9,11.3,5.1,1.0,0.3,0.9,.534,.537,.235,.680,6.0,.067
28,2016,NBA,1,3,BOS,Jaylen Brown\brownja02,19.247,F-G,us,California,2017,2020,243,25.2,11.9,4.2,1.3,0.8,0.3,.467,.523,.367,.668,11.3,.088
29,2017,NBA,1,3,BOS,Jayson Tatum\tatumja01,19.116,F,us,Duke,2018,2020,183,31.2,15.6,5.7,2.0,1.1,0.7,.451,.478,.391,.839,13.8,.116
30,2018,NBA,1,3,ATL,Luka Dončić\doncilu01,19.118,G-F,si,,2019,2020,96,32.5,23.5,8.3,6.8,1.1,0.3,.443,.535,.327,.742,9.9,.153
31,2009,NBA,1,4,SAC,Tyreke Evans\evansty01,19.284,G-F,us,Memphis,2010,2019,594,30.7,15.7,4.6,4.8,1.2,0.4,.440,.468,.323,.757,28.4,.075
32,2010,NBA,1,4,MIN,Wesley Johnson\johnswe01,22.354,F-G,us,Syracuse,2011,2019,609,22.1,7.0,3.2,1.1,0.8,0.7,.404,.460,.337,.741,10.7,.038
33,2011,NBA,1,4,CLE,Tristan Thompson\thomptr01,20.107,F-C,ca,Texas,2012,2020,586,28.0,9.3,8.6,1.0,0.5,0.7,.519,.520,.188,.607,41.5,.121
34,2012,NBA,1,4,CLE,Dion Waiters\waitedi01,20.206,G,us,Syracuse,2013,2019,409,28.4,13.2,2.7,2.8,0.9,0.3,.412,.443,.347,.692,8.7,.036
35,2013,NBA,1,4,CHA,Cody Zeller\zelleco01,20.270,C-F,us,Indiana,2014,2020,385,22.9,8.4,5.9,1.4,0.7,0.7,.514,.521,.300,.736,25.4,.138
36,2014,NBA,1,4,ORL,Aaron Gordon\gordoaa01,18.288,F,us,Arizona,2015,2020,362,28.1,12.5,6.2,2.2,0.8,0.6,.449,.510,.321,.708,19.4,.092
37,2015,NBA,1,4,NYK,Kristaps Porziņģis\porzikr01,19.332,F-C,lv,,2016,2020,209,30.9,17.7,7.3,1.3,0.7,2.0,.433,.466,.355,.795,13.4,.100
38,2016,NBA,1,4,PHO,Dragan Bender\bendedr01,18.223,F,ba,,2017,2020,174,20.1,5.3,3.7,1.2,0.3,0.6,.398,.522,.322,.650,0.3,.005
39,2017,NBA,1,4,PHO,Josh Jackson\jacksjo02,20.137,F-G,us,Kansas,2018,2019,156,25.3,12.3,4.5,1.9,1.0,0.6,.415,.455,.294,.650,-2.4,-0.029
40,2018,NBA,1,4,MEM,Jaren Jackson\jacksja02,18.284,F,us,Michigan State,2019,2020,81,26.5,14.5,4.7,1.2,0.8,1.4,.489,.544,.366,.773,4.1,.093
41,2009,NBA,1,5,MIN,Ricky Rubio\rubiori01,18.252,G,es,,2012,2020,517,30.9,11.2,4.2,7.7,1.9,0.1,.388,.414,.321,.838,33.7,.101
42,2010,NBA,1,5,SAC,DeMarcus Cousins\couside01,19.320,C-F,us,Kentucky,2011,2019,565,32.0,21.2,10.9,3.2,1.4,1.2,.461,.477,.332,.737,44.1,.117
43,2011,NBA,1,5,TOR,Jonas Valančiūnas\valanjo01,19.052,C,lt,,2013,2020,511,25.1,12.1,8.6,0.8,0.4,1.0,.559,.566,.361,.786,46.7,.174
44,2012,NBA,1,5,SAC,Thomas Robinson\robinth01,21.109,F,us,Kansas,2013,2017,313,13.4,4.9,4.8,0.6,0.5,0.4,.470,.472,.000,.505,4.6,.053
45,2013,NBA,1,5,PHO,Alex Len\lenal01,20.016,C,ua,Maryland,2014,2020,436,19.8,8.0,6.2,0.8,0.4,1.0,.490,.506,.336,.694,16.5,.092
46,2014,NBA,1,5,UTA,Dante Exum\exumda01,18.353,G,au,,2015,2020,215,18.7,5.7,1.7,2.2,0.4,0.2,.401,.477,.305,.772,2.6,.031
47,2015,NBA,1,5,ORL,Mario Hezonja\hezonma01,20.125,F-G,hr,,2016,2020,300,18.8,7.1,3.2,1.3,0.7,0.2,.414,.478,.321,.811,2.6,.022
48,2016,NBA,1,5,MIN,Kris Dunn\dunnkr01,22.103,G,us,Providence,2017,2020,202,23.8,8.4,3.3,4.2,1.5,0.5,.417,.450,.300,.724,2.7,.027
49,2017,NBA,1,5,SAC,De'Aaron Fox\foxde01,19.189,G,us,Kentucky,2018,2020,163,29.8,14.8,3.3,6.0,1.3,0.4,.438,.462,.345,.724,5.3,.052
50,2018,NBA,1,5,DAL,Trae Young\youngtr01,19.280,G,us,Oklahoma,2019,2020,105,31.8,21.1,3.8,8.2,1.0,0.2,.428,.487,.340,.837,5.2,.075
51,2009,NBA,1,6,MIN,Jonny Flynn\flynnjo01,20.144,G,us,Syracuse,2010,2012,163,22.9,9.2,1.9,3.9,0.7,0.0,.400,.420,.338,.809,-1.1,-0.015
52,2010,NBA,1,6,GSW,Ekpe Udoh\udohek01,23.041,C-F,us,Baylor,2011,2019,384,14.8,3.5,2.9,0.7,0.5,1.1,.453,.455,.000,.718,10.4,.088
53,2011,NBA,1,6,WAS,Jan Veselý\veselja01,21.065,F,cz,,2012,2014,162,15.2,3.6,3.5,0.6,0.7,0.5,.521,.523,.000,.408,4.0,.078
54,2012,NBA,1,6,POR,Damian Lillard\lillada01,21.354,G,us,Weber State,2013,2020,573,36.3,23.6,4.2,6.4,1.0,0.3,.434,.482,.368,.890,74.0,.171
55,2013,NBA,1,6,NOH,Nerlens Noel\noelne01,19.083,C-F,us,Kentucky,2015,2020,323,22.5,8.1,6.4,1.2,1.3,1.4,.530,.530,.250,.642,18.7,.124
56,2014,NBA,1,6,BOS,Marcus Smart\smartma01,20.117,G,us,Oklahoma State,2015,2020,361,28.6,9.4,3.5,4.0,1.5,0.4,.373,.438,.312,.768,17.8,.083
57,2015,NBA,1,6,SAC,Willie Cauley-Stein\caulewi01,21.316,F-C,us,Kentucky,2016,2020,318,23.9,9.9,6.4,1.6,0.9,0.8,.535,.537,.222,.614,18.6,.118
58,2016,NBA,1,6,NOP,Buddy Hield\hieldbu01,23.194,G,bs,Oklahoma,2017,2020,268,27.4,15.5,4.1,2.0,0.8,0.3,.443,.472,.412,.871,11.0,.072
59,2017,NBA,1,6,ORL,Jonathan Isaac\isaacjo01,19.267,F,us,Florida State,2018,2020,124,25.9,9.2,5.4,1.0,1.0,1.5,.426,.488,.329,.807,6.0,.089
60,2018,NBA,1,6,ORL,Mohamed Bamba\bambamo01,20.045,C,us,Texas,2019,2020,69,16.1,6.0,5.0,0.7,0.3,1.4,.463,.528,.322,.587,2.0,.088
61,2009,NBA,1,7,GSW,Stephen Curry\curryst01,21.108,G,us,Davidson,2010,2020,698,34.3,23.5,4.5,6.6,1.7,0.2,.476,.515,.435,.905,103.1,.207
62,2010,NBA,1,7,DET,Greg Monroe\monrogr01,20.025,C-F,us,Georgetown,2011,2019,632,27.7,13.2,8.3,2.1,1.1,0.6,.514,.515,.059,.704,49.7,.136
63,2011,NBA,1,7,SAC,Bismack Biyombo\biyombi01,18.303,C-F,cd,,2012,2020,608,20.2,5.0,6.2,0.5,0.3,1.4,.521,.521,.000,.572,24.2,.095
64,2012,NBA,1,7,GSW,Harrison Barnes\barneha02,20.034,F,us,UNC,2013,2020,564,30.9,13.7,4.9,1.6,0.7,0.2,.447,.477,.373,.795,31.5,.087
65,2013,NBA,1,7,SAC,Ben McLemore\mclembe01,20.141,G,us,Kansas,2014,2020,392,23.7,8.9,2.5,1.1,0.7,0.2,.415,.471,.352,.786,5.7,.029
66,2014,NBA,1,7,LAL,Julius Randle\randlju01,19.214,F-C,us,Kentucky,2015,2020,336,28.7,15.5,8.8,2.8,0.6,0.5,.497,.521,.297,.717,18.1,.090
67,2015,NBA,1,7,DEN,Emmanuel Mudiay\mudiaem01,19.116,G,cd,,2016,2020,268,24.9,11.4,3.0,4.0,0.7,0.3,.397,.427,.320,.745,-0.8,-0.006
68,2016,NBA,1,7,DEN,Jamal Murray\murraja01,19.125,G,ca,Kentucky,2017,2020,261,28.7,15.0,3.5,3.5,0.9,0.3,.434,.482,.360,.880,13.7,.088
69,2017,NBA,1,7,MIN,Lauri Markkanen\markkla01,20.036,F-C,fi,Arizona,2018,2020,146,30.7,16.3,7.9,1.3,0.7,0.6,.426,.485,.355,.848,7.3,.078
70,2018,NBA,1,7,CHI,Wendell Carter\cartewe01,19.071,C,us,Duke,2019,2020,70,26.9,11.0,8.0,1.5,0.6,1.1,.516,.546,.170,.754,4.5,.115
71,2009,NBA,1,8,NYK,Jordan Hill\hilljo01,21.339,C-F,us,Arizona,2010,2017,409,18.8,7.9,5.8,0.8,0.4,0.7,.497,.499,.136,.699,16.4,.102
