,Date,Team,Acquired,Relinquised,Notes
3446,2013-09-09,Pelicans,,Darius Miller,surgery on left foot to repair stress fracture (out indefinitely)
3447,2013-09-18,Wizards,,Chris Singleton,surgery on left foot (out indefinitely)
3448,2013-09-18,Wizards,,Emeka Okafor,herniated disc in neck (out indefinitely)
3449,2013-09-19,Wizards,,Chris Singleton,surgery on left foot to repair fractured bone (out indefinitely)
3450,2013-09-27,76ers,,Arnett Moultrie,surgery on left ankle (out indefinitely)
3451,2013-09-27,Timberwolves,,Chase Budinger,damaged cartilage in left knee (out indefinitely)
3452,2013-10-01,Thunder,,Russell Westbrook,arthroscopic surgery on right knee (out indefinitely)
3453,2013-10-05,Blazers,,CJ McCollum,fractured bone in left foot (out indefinitely)
3454,2013-10-08,Hawks,,Gustavo Ayon,strained right rotator cuff (out indefinitely)
3455,2013-10-10,Bobcats,,Brendan Haywood,stress fracture in left foot (out indefinitely)
3456,2013-10-10,Mavericks,,Brandan Wright,fractured left shoulder (surgery) (out indefinitely)
3457,2013-10-10,Pistons,,Rodney Stuckey,fractured right thumb (out indefinitely)
3458,2013-10-11,Bucks,,Ekpe Udoh,arthroscopic surgery on right knee (out indefinitely)
3459,2013-10-11,Pistons,,Rodney Stuckey,surgery to repair fractured right thumb (out indefinitely)
3460,2013-10-12,Bobcats,,Cody Zeller,appendectomy (out indefinitely)
3461,2013-10-12,Jazz,,Trey Burke,fractured right index finger (out indefinitely)
3462,2013-10-15,Jazz,,Trey Burke,surgery to repair fractured right index finger (out indefinitely)
3463,2013-10-15,Kings,,Carl Landry,surgery on left hip to repair torn hip flexor muscle (out indefinitely)
3464,2013-10-15,Pistons,,Brandon Jennings,impacted wisdom tooth (out indefinitely)
3465,2013-10-16,Clippers,,Maalik Wayns,surgery on left knee to repair torn meniscus (out indefinitely) (date approximate)
3466,2013-10-17,Bobcats,,Brendan Haywood,surgery on left foot to repair stress fracture (out indefinitely)
3467,2013-10-28,Pacers,,Danny Granger,strained left calf (out indefinitely)
3468,2013-10-29,Bucks,,Carlos Delfino,recovering from surgery on right foot (out indefinitely)
3469,2013-10-29,Cavaliers,,Carrick Felix,sports hernia (out indefinitely)
3470,2013-10-29,Celtics,,Rajon Rondo,recovering from surgery on left knee to repair torn ACL (out indefinitely)
3471,2013-10-29,Hawks,,Lou Williams,recovering from surgery on right knee (out indefinitely)
3472,2013-10-29,Magic,,Doron Lamb,sprained right ankle (DNP)
3473,2013-10-29,Magic,,Tobias Harris,sprained left ankle (DNP)
3474,2013-10-29,Nuggets,,Danilo Gallinari,recovering from surgery on left knee to repair torn ACL (out indefinitely)
3475,2013-10-29,Timberwolves,,Chase Budinger,recovering from surgery on left knee (out indefinitely)
3476,2013-10-29,Warriors,,Festus Ezeli,recovering from surgery on right knee (out for season)
3477,2013-10-29,Warriors,,Harrison Barnes,left foot injury (DNP)
