Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,2015-16,GSW*,NBA,82,73,9,.890,19880,3489,7159,2412,4567,1077,2592,1366,1790,816,2972,3788,2373,689,498,1245,1701,9421
2,1995-96,CHI*,NBA,82,72,10,.878,19730,3293,6892,2749,5543,544,1349,1495,2004,1247,2411,3658,2033,745,345,1175,1807,8625
3,1996-97,CHI*,NBA,82,69,13,.841,19730,3277,6923,2754,5520,523,1403,1381,1848,1235,2461,3696,2142,716,332,1109,1617,8458
4,1971-72,LAL*,NBA,82,69,13,.841,19755,3920,7998,3920,7998,,,2080,2833,,,4628,2232,,,,1636,9920
5,1972-73,BOS*,NBA,82,68,14,.829,19730,3811,8511,3811,8511,,,1616,2073,,,4802,2320,,,,1805,9238
6,1966-67,PHI*,NBA,81,68,13,.840,19515,3912,8103,3912,8103,,,2319,3411,,,5701,2138,,,,1906,10143
7,1991-92,CHI*,NBA,82,67,15,.817,19830,3643,7168,3505,6714,138,454,1587,2132,1173,2439,3612,2279,672,480,1088,1693,9011
8,2014-15,GSW*,NBA,82,67,15,.817,19730,3410,7137,2527,4920,883,2217,1313,1709,853,2814,3667,2248,762,496,1185,1628,9016
9,2016-17,GSW*,NBA,82,67,15,.817,19780,3532,7140,2550,4578,982,2562,1457,1850,770,2873,3643,2491,785,555,1211,1585,9503
10,2006-07,DAL*,NBA,82,67,15,.817,19755,3010,6442,2475,5038,535,1404,1646,2045,920,2515,3435,1632,560,408,1140,1837,8201
11,1985-86,BOS*,NBA,82,67,15,.817,19855,3718,7312,3580,6919,138,393,1785,2248,1054,2753,3807,2387,641,511,1360,1756,9359
12,2015-16,SAS*,NBA,82,67,15,.817,19705,3289,6797,2719,5279,570,1518,1342,1672,770,2831,3601,2010,677,485,1071,1433,8490
13,1999-00,LAL*,NBA,82,67,15,.817,19805,3137,6836,2793,5789,344,1047,1649,2368,1117,2738,3855,1921,613,534,1143,1841,8267
14,2007-08,BOS*,NBA,82,66,16,.805,19755,2986,6286,2390,4722,596,1564,1677,2176,830,2615,3445,1833,696,379,1246,1864,8245
15,2008-09,CLE*,NBA,82,66,16,.805,19780,3022,6454,2366,4784,656,1670,1523,2012,886,2574,3460,1663,593,435,1045,1663,8223
16,2012-13,MIA*,NBA,82,66,16,.805,19880,3148,6348,2431,4539,717,1809,1423,1887,676,2490,3166,1890,710,441,1143,1533,8436
17,1970-71,MIL*,NBA,82,66,16,.805,19780,3972,7803,3972,7803,,,1766,2379,,,4344,2249,,,,1847,9710
18,2008-09,LAL*,NBA,82,65,17,.793,19780,3307,6981,2760,5465,547,1516,1607,2087,1015,2587,3602,1908,718,420,1103,1698,8768
19,2017-18,HOU*,NBA,82,65,17,.793,19755,3174,6906,1918,3436,1256,3470,1609,2061,739,2825,3564,1767,699,392,1135,1597,9213
20,1986-87,LAL*,NBA,82,65,17,.793,19730,3740,7245,3576,6798,164,447,2012,2550,1127,2515,3642,2428,728,482,1358,1853,9656
21,1982-83,PHI*,NBA,82,65,17,.793,19830,3600,7212,3575,7103,25,109,1966,2650,1334,2596,3930,2016,812,577,1627,2041,9191
22,1996-97,UTA*,NBA,82,64,18,.780,19830,3131,6217,2797,5315,334,902,1858,2416,889,2410,3299,2199,748,418,1259,1981,8454
23,1995-96,SEA*,NBA,82,64,18,.780,19880,3074,6401,2493,4805,581,1596,1843,2424,954,2449,3403,1999,882,393,1441,1967,8572
24,2005-06,DET*,NBA,82,64,18,.780,19830,2983,6558,2426,5107,557,1451,1418,1950,975,2347,3322,1971,580,490,931,1513,7941
25,1988-89,DET*,NBA,82,63,19,.768,19830,3395,6879,3275,6479,120,400,1830,2379,1154,2546,3700,2027,522,406,1336,1939,8740
26,1981-82,BOS*,NBA,82,63,19,.768,19780,3657,7334,3608,7150,49,184,1817,2457,1253,2489,3742,2126,652,568,1452,2014,9180
27,1990-91,POR*,NBA,82,63,19,.768,19905,3577,7369,3236,6465,341,904,1912,2538,1202,2561,3763,2254,724,410,1309,1975,9407
28,1993-94,SEA*,NBA,82,63,19,.768,19730,3338,6901,3096,6179,242,722,1769,2374,1148,2233,3381,2112,1053,365,1262,1914,8687
