Rk,Player,Season,School,Pos,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,Jock Landale\jock-landale-1,2017-18,Saint Mary's (CA),C,36,36,1200,301,470,.640,298,460,.648,3,10,.300,156,209,.746,106,260,366,72,14,36,84,109,761,17.9
2,Aaric Murray\aaric-murray-1,2013-14,Texas Southern,C,34,32,1088,241,491,.491,210,399,.526,31,92,.337,223,301,.741,74,181,255,41,29,86,89,88,736,16.4
3,Frank Kaminsky\frank-kaminsky-1,2014-15,Wisconsin,C,39,39,1311,267,488,.547,225,387,.581,42,101,.416,156,200,.780,58,262,320,103,33,57,63,65,732,16.8
4,Chris Horton\chris-horton-1,2015-16,Austin Peay,C,36,36,1213,248,414,.599,248,414,.599,0,0,,180,290,.621,177,254,431,54,49,63,98,76,676,17.9
5,Jahlil Okafor\jahlil-okafor-1,2014-15,Duke,C,38,38,1143,279,420,.664,279,420,.664,0,0,,99,194,.510,134,188,322,49,29,54,95,81,657,14.8
6,Tim Kempton\tim-kempton-2,2016-17,Lehigh,C,32,32,1012,231,422,.547,208,366,.568,23,56,.411,168,221,.760,62,267,329,36,29,41,99,99,653,15.5
7,Nathan Boothe\nathan-boothe-1,2015-16,Toledo,C,32,32,1007,241,486,.496,208,398,.523,33,88,.375,103,125,.824,60,227,287,105,21,33,71,83,618,15.3
8,Isaiah Johnson\isaiah-johnson-1,2016-17,Akron,C,36,36,1076,223,357,.625,223,355,.628,0,2,.000,152,259,.587,103,154,257,103,17,33,84,95,598,14.0
9,Alan Williams\alan-williams-2,2013-14,UC-Santa Barbara,C,28,28,872,224,420,.533,224,420,.533,0,0,,148,216,.685,106,216,322,33,33,67,59,84,596,18.4
10,Jock Landale\jock-landale-1,2016-17,Saint Mary's (CA),C,34,34,962,229,375,.611,225,357,.630,4,18,.222,114,158,.722,103,219,322,58,10,41,72,87,576,14.6
11,Drew McDonald\drew-mcdonald-1,2016-17,Northern Kentucky,C,35,35,1052,201,425,.473,148,287,.516,53,138,.384,118,160,.738,71,197,268,61,15,19,77,82,573,11.7
12,Drew McDonald\drew-mcdonald-1,2017-18,Northern Kentucky,C,32,32,979,196,422,.464,141,259,.544,55,163,.337,97,121,.802,62,246,308,72,16,16,70,74,544,12.9
13,Adam Smith\adam-smith-1,2015-16,Georgia Tech,C,36,35,1098,185,455,.407,76,192,.396,109,263,.414,61,76,.803,12,70,82,69,15,1,44,57,540,8.8
14,Jessie Govan\jessie-govan-1,2017-18,Georgetown,C,30,30,980,201,396,.508,185,350,.529,16,46,.348,118,155,.761,74,227,301,59,18,34,52,87,536,14.7
15,Egidijus Mockevicius\egidijus-mockevicius-1,2015-16,Evansville,C,34,34,1082,195,306,.637,195,306,.637,0,0,,145,212,.684,85,389,474,9,27,94,55,110,535,16.1
16,Nana Foulland\nana-fouland-1,2017-18,Bucknell,C,35,35,1001,210,358,.587,210,356,.590,0,2,.000,112,201,.557,76,169,245,46,18,61,63,92,532,12.2
17,Frank Kaminsky\frank-kaminsky-1,2013-14,Wisconsin,C,38,38,1032,196,371,.528,159,273,.582,37,98,.378,101,132,.765,81,159,240,49,26,66,39,96,530,12.4
18,Ben Lammers\ben-lammers-1,2016-17,Georgia Tech,C,37,37,1309,214,415,.516,213,413,.516,1,2,.500,98,133,.737,111,231,342,78,43,125,64,85,527,14.7
19,Albert Owens\albert-owens-1,2016-17,Oral Roberts,C,30,27,934,206,419,.492,203,407,.499,3,12,.250,107,147,.728,68,99,167,29,13,37,61,67,522,11.5
20,Tyler Davis\tyler-davis-5,2017-18,Texas A&M,C,35,35,1018,206,352,.585,199,327,.609,7,25,.280,101,162,.623,123,190,313,44,12,47,70,90,520,12.7
21,Killian Larson\killian-larson-1,2013-14,Grand Canyon,C,30,30,980,180,333,.541,179,330,.542,1,3,.333,155,210,.738,115,233,348,24,14,6,76,96,516,13.5
22,Michael Buchanan\michael-buchanan-1,2016-17,South Carolina Upstate,C,32,19,744,207,330,.627,207,330,.627,0,0,,102,193,.528,115,187,302,37,17,20,71,86,516,13.1
23,Tim Kempton\tim-kempton-2,2015-16,Lehigh,C,29,29,864,182,328,.555,177,312,.567,5,16,.313,145,192,.755,69,207,276,41,20,13,84,90,514,13.3
24,Isaac Haas\isaac-haas-1,2017-18,Purdue,C,35,35,818,185,300,.617,185,300,.617,0,0,,144,190,.758,60,141,201,26,5,46,58,85,514,11.6
25,Nana Foulland\nana-fouland-1,2016-17,Bucknell,C,34,34,938,203,322,.630,203,322,.630,0,0,,105,187,.561,77,187,264,41,26,72,71,95,511,12.9
26,Adreian Payne\adreian-payne-1,2013-14,Michigan State,C,31,28,870,178,354,.503,134,250,.536,44,104,.423,109,138,.790,48,177,225,41,15,28,63,80,509,12.1
27,Moses Kingsley\moses-kingsley-1,2015-16,Arkansas,C,32,31,945,183,334,.548,183,334,.548,0,0,,142,223,.637,103,196,299,39,36,76,65,94,508,14.4
28,James Thompson IV\james-thompsoniv-1,2017-18,Eastern Michigan,C,35,35,1195,201,299,.672,201,299,.672,0,0,,105,173,.607,144,249,393,11,27,67,66,115,507,14.2
29,Damian Jones\damian-jones-1,2014-15,Vanderbilt,C,35,34,1020,186,331,.562,185,326,.567,1,5,.200,133,222,.599,76,151,227,26,20,70,76,89,506,11.1
30,Shayne Whittington\shayne-whittington-1,2013-14,Western Michigan,C,31,31,987,188,357,.527,182,324,.562,6,33,.182,117,152,.770,74,201,275,34,24,47,58,74,499,13.4
31,Stefan Nastic\stefan-nastic-1,2014-15,Stanford,C,37,37,1098,179,379,.472,179,379,.472,0,0,,138,183,.754,90,149,239,53,13,38,75,137,496,9.2
32,A.J. Hammons\aj-hammons-1,2015-16,Purdue,C,33,20,813,199,336,.592,193,325,.594,6,11,.545,90,127,.709,77,193,270,37,9,84,65,78,494,13.1
33,James Thompson IV\james-thompsoniv-1,2015-16,Eastern Michigan,C,33,33,1058,182,281,.648,182,280,.650,0,1,.000,126,184,.685,148,203,351,20,25,47,48,117,490,14.7
34,Sam Dower\sam-dower-1,2013-14,Gonzaga,C,34,31,898,185,324,.571,179,305,.587,6,19,.316,113,137,.825,64,181,245,37,15,24,53,81,489,11.7
35,Tyrell Nelson\tyrell-nelson-1,2014-15,Gardner-Webb,C,35,34,966,195,320,.609,195,318,.613,0,2,.000,96,152,.632,101,128,229,29,22,29,56,107,486,11.2
36,Ian Chiles\ian-chiles-1,2013-14,Morgan State,C,31,31,882,185,337,.549,185,337,.549,0,0,,115,173,.665,77,126,203,28,14,92,48,93,485,13.0
37,Isaiah Johnson\isaiah-johnson-1,2015-16,Akron,C,35,10,889,174,303,.574,173,298,.581,1,5,.200,127,212,.599,93,173,266,57,16,45,54,83,476,11.9
38,Przemek Karnowski\przemek-karnowski-1,2016-17,Gonzaga,C,39,39,902,198,338,.586,198,337,.588,0,1,.000,79,133,.594,56,172,228,75,17,37,70,83,475,9.7
39,James Thompson IV\james-thompsoniv-1,2016-17,Eastern Michigan,C,32,32,988,178,310,.574,177,309,.573,1,1,1.000,117,164,.713,152,206,358,32,24,29,64,101,474,13.7
40,Corey Petros\corey-petros-1,2014-15,Oakland,C,33,32,1190,201,334,.602,201,333,.604,0,1,.000,69,149,.463,108,164,272,66,17,10,50,87,471,12.0
41,Tyrell Nelson\tyrell-nelson-1,2015-16,Gardner-Webb,C,33,31,898,181,324,.559,176,307,.573,5,17,.294,100,163,.613,102,150,252,53,21,26,86,87,467,10.9
