Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1971-72,LAL*,NBA,82,69,13,.841,19755,3920,7998,3920,7998,,,2080,2833,,,4628,2232,,,,1636,9920,12.28,-0.63,11.65,,,,.490,,,0.260,.432,,,0.177
2,1970-71,MIL*,NBA,82,66,16,.805,19780,3972,7803,3972,7803,,,1766,2379,,,4344,2249,,,,1847,9710,12.26,-0.34,11.92,,,,.509,,,0.226,.424,,,0.210
3,1995-96,CHI*,NBA,82,72,10,.878,19730,3293,6892,2749,5543,544,1349,1495,2004,1247,2411,3658,2033,745,345,1175,1807,8625,12.24,-0.44,11.80,91.1,115.2,101.8,.517,13.1,36.9,0.217,.482,16.1,28.9,0.222
4,2016-17,GSW*,NBA,82,67,15,.817,19780,3532,7140,2550,4578,982,2562,1457,1850,770,2873,3643,2491,785,555,1211,1585,9503,11.63,-0.28,11.35,99.8,115.6,104.0,.563,13.2,22.8,0.204,.486,13.5,25.1,0.198
5,1971-72,MIL*,NBA,82,63,19,.768,19780,3813,7653,3813,7653,,,1774,2399,,,4269,2160,,,,1862,9400,11.16,-0.46,10.70,,,,.498,,,0.232,.420,,,0.217
6,1996-97,CHI*,NBA,82,69,13,.841,19730,3277,6923,2754,5520,523,1403,1381,1848,1235,2461,3696,2142,716,332,1109,1617,8458,10.80,-0.11,10.70,90.0,114.4,102.4,.511,12.5,35.9,0.199,.471,14.8,30.7,0.196
7,2015-16,GSW*,NBA,82,73,9,.890,19880,3489,7159,2412,4567,1077,2592,1366,1790,816,2972,3788,2373,689,498,1245,1701,9421,10.76,-0.38,10.38,99.3,114.5,103.8,.563,13.5,23.5,0.191,.479,12.6,24.0,0.208
8,2015-16,SAS*,NBA,82,67,15,.817,19705,3289,6797,2719,5279,570,1518,1342,1672,770,2831,3601,2010,677,485,1071,1433,8490,10.63,-0.36,10.28,93.8,110.3,99.0,.526,12.4,23.0,0.197,.477,14.1,20.9,0.182
9,1991-92,CHI*,NBA,82,67,15,.817,19830,3643,7168,3505,6714,138,454,1587,2132,1173,2439,3612,2279,672,480,1088,1693,9011,10.44,-0.37,10.07,94.4,115.5,104.5,.518,11.8,35.1,0.221,.476,14.1,30.7,0.219
10,2007-08,BOS*,NBA,82,66,16,.805,19755,2986,6286,2390,4722,596,1564,1677,2176,830,2615,3445,1833,696,379,1246,1864,8245,10.26,-0.95,9.30,90.9,110.2,98.9,.522,14.7,26.6,0.267,.457,15.2,25.6,0.253
11,2019-20,LAL,NBA,13,11,2,.846,3145,555,1162,427,778,128,384,202,266,130,468,598,344,107,101,195,267,1440,10.15,-0.22,9.94,100.3,109.5,99.5,.533,13.2,23.0,0.174,.484,15.2,20.8,0.195
12,2014-15,GSW*,NBA,82,67,15,.817,19730,3410,7137,2527,4920,883,2217,1313,1709,853,2814,3667,2248,762,496,1185,1628,9016,10.10,-0.09,10.01,98.3,111.6,101.4,.540,13.1,24.1,0.184,.470,14.3,25.5,0.217
13,1946-47,WSC*,BAA,60,49,11,.817,,1723,5794,1723,5794,,,982,1391,,,,378,,,,1144,4428,9.87,-0.91,8.99,,,,.297,,,0.169,,,,
14,1966-67,PHI*,NBA,81,68,13,.840,19515,3912,8103,3912,8103,,,2319,3411,,,5701,2138,,,,1906,10143,9.44,-0.94,8.50,,,,.483,,,0.286,,,,
15,1985-86,BOS*,NBA,82,67,15,.817,19855,3718,7312,3580,6919,138,393,1785,2248,1054,2753,3807,2387,641,511,1360,1756,9359,9.41,-0.36,9.06,101.2,111.8,102.6,.518,14.1,31.3,0.244,.466,13.0,28.3,0.216
16,1986-87,LAL*,NBA,82,65,17,.793,19730,3740,7245,3576,6798,164,447,2012,2550,1127,2515,3642,2428,728,482,1358,1853,9656,9.30,-0.99,8.32,101.6,115.6,106.5,.528,14.0,34.1,0.278,.476,13.8,33.7,0.230
17,1961-62,BOS*,NBA,80,60,20,.750,,3855,9109,3855,9109,,,1977,2715,,,6080,2049,,,,1909,9687,9.24,-0.98,8.25,,,,.423,,,0.217,,,,
18,2012-13,OKC*,NBA,82,60,22,.732,19830,3126,6504,2528,4916,598,1588,1819,2196,854,2725,3579,1753,679,624,1253,1654,8669,9.21,-0.06,9.15,93.3,112.4,102.6,.527,14.4,26.7,0.280,.469,13.5,26.6,0.197
