"","x"
"1","surgery"
"2","on"
"3","left"
"4","foot"
"5","to"
"6","repair"
"7","stress"
"8","fracture"
"9","herniated"
"10","disc"
"11","in"
"12","neck"
"13","fractured"
"14","bone"
"15","ankle"
"16","damaged"
"17","cartilage"
"18","knee"
"19","arthroscopic"
"20","right"
"21","strained"
"22","rotator"
"23","cuff"
"24","shoulder"
"25","thumb"
"26","appendectomy"
"27","index"
"28","finger"
"29","hip"
"30","torn"
"31","flexor"
"32","muscle"
"33","impacted"
"34","wisdom"
"35","tooth"
"36","meniscus"
"37","calf"
"38","recovering"
"39","from"
"40","sports"
"41","hernia"
"42","ACL"
"43","sprained"
"44","injury"
"45","hamstring"
"46","sore"
"47","back"
"48","heel"
"49","and"
"50","Achilles"
"51","tendon"
"52","rest"
"53","spasms"
"54","lateral"
"55","elbow"
"56","toe"
"57","inflammation"
"58","thigh"
"59","fibula"
"60","head"
"61","coach"
"62","underwent"
"63","heart"
"64","procedure"
"65","DN"
"66","tibia"
"67","returned"
"68","tea"
"69","repaor"
"70","ligament"
"71","nerve"
"72","irritation"
"73","flu"
"74","bruised"
"75","nose"
"76","MCL"
"77","wrist"
"78","illness"
"79","pinched"
"80","shin"
"81","eye"
"82","retina"
"83","upper"
"84","respiratory"
"85","infection"
"86","hand"
"87","lower"
"88","ribs"
"89","lineu"
"90","ingrown"
"91","toenail"
"92","bruise"
"93",""
"94","resting"
"95","plantar"
"96","faciitis"
"97","skin"
"98","tendinitis"
"99","abdominal"
"100","wris"
"101","dental"
"102","pectoral"
"103","quadriceps"
"104","food"
"105","poisoning"
"106","pectoracl"
"107","root"
"108","separated"
"109","groin"
"110","sinus"
"111","concussion"
"112","tightness"
"113","cartilag"
"114","stomach"
"115","virus"
"116","big"
"117","reconstruct"
"118","pinky"
"119","bursitis"
"120","cervical"
"121","strain"
"122","rib"
"123","stiff"
"124","patella"
"125","orbital"
"126","conditioning"
"127","swelling"
"128","cheekbone"
"129","hyperextended"
"130","tailbone"
"131","injur"
"132","strep"
"133","throat"
"134","meniscus,"
"135","patellar"
"136","bicep"
"137","medial"
"138","menuscus"
"139","vertigo"
"140","quadricap"
"141","pelvis"
"142","AC"
"143","joint"
"144","lat"
"145","leg"
"146","pointer"
"147","placed"
"148","IL"
"149","for"
"150","res"
"151","ailment"
"152","labrum"
"153","tendo"
"154","fascia"
"155","remove"
"156","spurs"
"157","removal"
"158","of"
"159","tonsils"
"160","adnoids"
"161","scar"
"162","tissue"
"163","loose"
"164","fragment"
"165","microdisectomy"
"166","atrial"
"167","flutter"
"168","facial"
"169","migraine"
"170","headache"
"171","scre"
"172","cold"
"173","impingement"
"174","chest"
"175","oblique"
"176","suspended"
"177","by"
"178","NBA"
"179","1"
"180","game"
"181","shoving"
"182","opposing"
"183","playe"
"184","fasciitis"
"185","adductor"
"186","turf"
"187","side"
"188","replace"
"189","screw"
"190","dislocated"
"191","unspecified"
"192","blood"
"193","clots"
"194","lungs"
"195","staph"
"196","infectio"
"197","ruptured"
"198","middle"
"199","kneecap"
"200","chips"
"201","cheek"
"202","various"
"203","injuries"
"204","MCL,"
"205","oral"
"206","partially"
"207","collapsed"
"208","lung"
"209","retired"
"210","ligaments"
"211","install"
"212","graft"
"213","undisclosed"
"214","lacerated"
"215","fibula,"
"216","damage"
"217","exploratory"
"218","reaction"
"219","separation"
"220","ligamen"
"221","player"
"222","declined"
"223","exercise"
"224","contract"
"225","optio"
"226","bodies"
"227","jaw"
"228","undergo"
"229","have"
"230","2"
"231","screws"
"232","replaced"
"233","a"
"234","took"
"235","leave"
"236","absence"
"237","as"
"238","with"
"239","SI"
"240","chip"
"241","gastroenteritis"
"242","hamstrin"
"243","corneal"
"244","abrasion"
"245","spur"
"246","quadricep"
"247","work"
"248","subluxation"
"249","triceps"
"250","pneumonia"
"251","both"
"252","ring"
"253","scratched"
"254","coac"
"255","appendix"
"256","core"
"257","testicle"
"258","general"
"259","soreness"
"260","extraction"
"261","lineup"
"262","plate"
"263","chondromalacia"
"264","eyelid"
"265","sternum"
"266","swollen"
"267","forehead"
"268","gastroententis"
"269","collarbone"
"270","upset"
"271","interior"
"272","wall"
"273","calcium"
"274","deposits"
"275","air"
"276","pocket"
"277","debris"
"278","reduce"
"279","insert"
"280","DNP"
"281","arthrosopic"
"282","rehab"
"283","contusion"
"284","lost"
"285","groi"
"286","personal"
"287","reasons"
"288","forearm"
"289","biceps"
"290","arm"
"291","dizziness"
"292","metatarsal"
"293","thrombocytopenia"
"294","body"
"295","injured"
"296","stiffness"
"297","cramps"
"298","ankle,"
"299","related"
"300","hee"
"301","his"
"302","high"
"303","sprain"
"304","knees"
"305","bones"
"306","face"
"307","fractur"
"308","gluteus"
"309","splints"
"310","ulnar"
"311","absense"
"312","heath"
"313","issu"
"314","cornea"
"315","pulmonary"
"316","embolism"
"317","indefinitel"
"318","laceration"
"319","partial"
"320","tear"
"321","gasroenteritis"
"322","team"
"323","axillary"
"324","abscess"
"325","smooth"
"326","dislocation"
"327","posterior"
"328","tricep"
"329","address"
"330","health"
"331","issue"
"332",NA
"333","abdomen"
"334","ankl"
"335","allergic"
"336","abductor"
"337","SC"
"338","athletic"
"339","pubalgia"
