"school","count"
"Kentucky",62
"Duke",51
"North Carolina",45
"Arizona",45
"Kansas",44
"UCLA",42
"Connecticut",28
"Syracuse",27
"Michigan",27
"Georgia Tech",27
"Louisville",26
"Florida",26
"Michigan State",25
"Louisiana State",24
"Texas",23
"Memphis",23
"Iowa State",22
"Washington",22
"Indiana",21
"Cincinnati",21
"Villanova",21
"Florida State",21
"University of California",20
"Georgetown",19
"Marquette",19
"Maryland",19
"North Carolina State",18
"Oklahoma State",18
"Arkansas",18
"Wake Forest",18
"Fresno State",17
"Virginia",17
"Notre Dame",16
"Nevada-Las Vegas",16
"Oregon",16
"Ohio State",16
"Stanford",16
"Purdue",15
"Gonzaga",15
"Missouri",15
"Pittsburgh",15
"Texas A&M",15
"Alabama",15
"Providence",14
"Tennessee",14
"Southern California",14
"St. John's (NY)",13
"Wisconsin",13
"Xavier",13
"Utah",13
"Clemson",13
"Illinois",13
"Seton Hall",12
"Colorado",12
"Mississippi State",12
"Houston",11
"New Mexico",11
"Boston College",11
"Texas Tech",11
"Baylor",11
"Iowa",11
"Georgia",11
"Minnesota",11
"Kansas State",10
"Cal State Fullerton",10
"Washington State",10
"Vanderbilt",10
"Auburn",10
"Miami (FL)",10
"Oklahoma",9
"Murray State",9
"Nevada",9
"George Washington",9
"Arizona State",9
"Temple",9
"Tulsa",9
"DePaul",9
"Southern Methodist",9
"Oregon State",9
"Rhode Island",9
"Western Carolina",8
"Penn State",8
"San Diego State",8
"Bradley",8
"Creighton",7
"Texas-El Paso",7
"College of Charleston",7
"Ohio",7
"Central Florida",7
"Virginia Tech",7
"Detroit Mercy",7
"North Texas",7
"Cal State Long Beach",7
"St. Bonaventure",7
"Ball State",7
"Pacific",7
"Pepperdine",7
"Wichita State",7
"Arkansas-Pine Bluff",7
"Dayton",7
"Tulane",7
"Alcorn State",7
"Brigham Young",6
"Rutgers",6
"Morgan State",6
"Austin Peay",6
"Weber State",6
"Iona",6
"Virginia Commonwealth",6
"Western Kentucky",6
"Northwestern State",6
"Nebraska",6
"South Florida",6
"South Carolina",6
"La Salle",6
"Massachusetts",6
"Alabama-Birmingham",6
"Louisiana",6
"Louisiana-Monroe",6
"Boise State",6
"Charlotte",6
"Little Rock",6
"Colorado State",6
"Campbell",5
"Jackson State",5
"Niagara",5
"Rice",5
"Eastern Illinois",5
"Cleveland State",5
"Eastern Washington",5
"Mississippi",5
"Illinois-Chicago",5
"Saint Joseph's",5
"Southern Illinois",5
"New Mexico State",5
"St. Francis (NY)",5
"Texas-San Antonio",5
"Northern Illinois",5
"Duquesne",5
"Louisiana Tech",5
"Morehead State",5
"Nicholls State",5
"Maryland-Eastern Shore",5
"Montana",5
"Pennsylvania",5
"Samford",5
"Yale",5
"Davidson",4
"Hofstra",4
"Oakland",4
"Siena",4
"Chicago State",4
"Texas Christian",4
"Centenary (LA)",4
